Date,Description,Debit,Credit,Balance
01/01/2024,NEFT-SALARY-EMPLOYER-JAN2024,,65000.00,165000.00
02/01/2024,UPI/swiggy/9876543210/Food Order,280.00,,164720.00
03/01/2024,UPI/dr/Amazon.in/ORDER-1234,1299.00,,163421.00
04/01/2024,POS-UBER INDIA-RIDE,187.00,,163234.00
05/01/2024,UPI/Netflix/SUBSCRIPTION,649.00,,162585.00
06/01/2024,UPI/swiggy/9876543210/Dinner,350.00,,162235.00
07/01/2024,ATM WITHDRAWAL-SBI,2000.00,,160235.00
08/01/2024,UPI/dr/Zomato/ORDER-5678,210.00,,160025.00
09/01/2024,POS-SHELL PETROL PUMP,1500.00,,158525.00
10/01/2024,UPI/dr/flipkart/ORDER-9012,2499.00,,156026.00
11/01/2024,UPI/swiggy/9876543210/Lunch,190.00,,155836.00
12/01/2024,UPI/dr/BigBasket/Groceries,1875.00,,153961.00
13/01/2024,POS-PVR CINEMAS TICKET,450.00,,153511.00
14/01/2024,UPI/swiggy/9876543210/Snacks,150.00,,153361.00
15/01/2024,UPI/dr/Uber/RIDE-3456,220.00,,153141.00
16/01/2024,AUTOPAY-AIRTEL POSTPAID,599.00,,152542.00
17/01/2024,UPI/swiggy/9876543210/Dinner,310.00,,152232.00
18/01/2024,POS-RELIANCE FRESH MART,980.00,,151252.00
19/01/2024,UPI/dr/Amazon.in/ORDER-7890,3450.00,,147802.00
20/01/2024,UPI/swiggy/9876543210/Lunch,175.00,,147627.00
21/01/2024,POS-UBER INDIA-RIDE,245.00,,147382.00
22/01/2024,UPI/dr/Spotify/PREMIUM,119.00,,147263.00
23/01/2024,UPI/swiggy/9876543210/Dinner,290.00,,146973.00
24/01/2024,UPI/dr/Apollo Pharmacy,650.00,,146323.00
25/01/2024,POS-STARBUCKS COFFEE,380.00,,145943.00
26/01/2024,UPI/swiggy/9876543210/Lunch,160.00,,145783.00
27/01/2024,UPI/dr/Myntra/ORDER-3456,1890.00,,143893.00
28/01/2024,POS-UBER INDIA-RIDE,198.00,,143695.00
29/01/2024,UPI/dr/Zepto/Groceries,540.00,,143155.00
30/01/2024,UPI/swiggy/9876543210/Dinner,280.00,,142875.00
31/01/2024,UPI/dr/Cult.fit/Monthly,999.00,,141876.00
